,AF3,AF4,Fp1,AF7,AF8
24,-0.003792206493131134,-0.01737158569923082,-0.010392010677801423,-0.01711392326446138,-0.01851556734742383
25,0.0011134680463767209,-0.01653913115923843,-0.008328234559297704,-0.016518790670064804,-0.02012248550197082
26,0.0007603696117107209,-0.01919150203234653,-0.008643684427008167,-0.02036562252421924,-0.024113464712271774
27,-0.002300772677770065,-0.022008670040003446,-0.01025402182963621,-0.026789797955556683,-0.027582418550941384
28,-0.004408227196064921,-0.022863709255063983,-0.012392865276774037,-0.03163063558828484,-0.02884002530874838
29,-0.004923990247938525,-0.022599588205299958,-0.015684625415836675,-0.03287097099981928,-0.02814894880698089
30,-0.004870136106082212,-0.022012675653377323,-0.020308495708275205,-0.032075111322789514,-0.026183060163076526
31,-0.0049792971622884385,-0.020978649651623157,-0.024700129155786447,-0.031646134963698926,-0.023396066189005606
32,-0.005852742897456645,-0.0197114929205451,-0.027163861985028025,-0.033153847203980694,-0.019697063529375797
33,-0.006713350131529895,-0.017907912871124154,-0.026145740173580415,-0.03573271910464071,-0.014784734681752615
34,-0.006616577554348043,-0.015547191228794022,-0.02133404098467598,-0.037478618045975944,-0.009096786361588073
35,-0.005837355914969309,-0.013222764666921787,-0.015058130650249649,-0.03761429662390508,-0.0031784313680441796
36,-0.004321032223281252,-0.011378689301852062,-0.011056741837404554,-0.03583033663972344,-0.000821036034553251
37,-0.0017199316130819956,-0.010588013005095324,-0.011073106744621093,-0.03231577843459574,-0.0018927443690976808
38,2.2345446503818955e-05,-0.011700933918446834,-0.014276706366049262,-0.029818787567592868,-0.0059045442732582444
39,-0.0013377788007165668,-0.015042305863153959,-0.01866873311450374,-0.03043152812018699,-0.01318866202254118
40,-0.003925516093837549,-0.01901231499039052,-0.0211332837611589,-0.030996380567134576,-0.019131560170607468
41,-0.004642260855527296,-0.02120848878510973,-0.019745512052049673,-0.02806572622245449,-0.02212585244225042
42,-0.003913286414306175,-0.021442737893008088,-0.01664575722909825,-0.023235095180322823,-0.023903104084432372
43,-0.0038234998445259485,-0.021137955944504874,-0.015453942969133142,-0.02054570020181021,-0.025787248615314513
